171,2.96122552E10,1.45914986E12
321,2.94082022E9,-1.83036192E8
439,1.63385392E8,-1.84224443E13
685,2.0621218E7,3.68899104E8
869,9182.543,-1.97581459E12
991,2.25088E7,2.68462064E12
1158,2335438.2,1.86578522E9
1212,1.479688E8,7.8236928E8
1367,3.4636943E10,1.89248336E8
1521,6.711612E7,-1.28894177E10
1625,8829.7,1.05318187E13
1768,9267.594,5.9842673E12
1918,959360.8,9.9017533E9
2002,2135.1301,-1.46086144E8
2140,41.321545,-3.2901408E8
2227,7.3963594E10,4.93999104E8
2327,2.03928433E10,6.3286656E7
2399,1.38388064E8,2.4519122E7
2534,2.6519935,6.7207578E10
2839,2.59503536E8,-4.15514848E8
2967,2.64604631E10,1.3002656E8
3134,73.72645,-6.4627254E13
3446,1683226.0,-4.9823445E13
3670,7.4240492E10,5.5261728E7
3770,29868.098,-4.6631989E12
4058,4535.8286,-7.9253115E12
4190,7.6715811E10,-3.06775484E13
4358,1349367.1,-1.84491935E13
4575,432.15112,-2.23454495E10
4694,4.6202414E9,-2.9214657E13
4839,6758181.0,2.66250384E8
5042,1.17238184E8,-8.8045089E12
5246,3.13686989E9,-3.89543153E12
5438,150.37553,-8.5058703E12
5582,3.0024617E9,-4.00575064E12
5816,111184.96,2.0681833E9
5942,746.2303,-2.84854819E12
