58,30.653954,877473.2
414,15002.934,65472.59
602,1.00926218E10,7.7757112E9
842,225.6074,154368.62
908,6.8365158E8,5.4711501E8
2000,18.891928,1.8486776E7
2095,538.91754,5.0962368E7
2430,3.4546704E10,8.708821E9
2545,7.499351E8,6.8663386E8
2668,4.1860944E8,2.83308864E8
2763,4527600.5,1.24331802E9
2835,5001043.0,6.062104E7
3281,691.7865,93806.766
4096,7.3259656E7,1.8467472E7
4207,1.73475936E8,5.3881536E8
4891,1.64898688E8,1.63578576E8
5109,1.30051123E10,8.6503066E9
5228,2367960.0,2.9061392E8
5408,52085.484,9.6349056E7
5551,2.19452902E9,2.17980896E8
5611,3.30764992E8,3933221.0
5867,4951020.0,2.9044272E7
